Eccoti la tabella completa:

| Subnet Mask       | Prefix Length | Numero di subnet   | Host per subnet            | Indirizzi IP utilizzabili                  | Indirizzo di rete            | Indirizzo di broadcast        |
|-------------------|---------------|--------------------|----------------------------|--------------------------------------------|------------------------------|-----------------------
| 128.0.0.0         | /1            | 2                  | 2^31 - 2                   | 0.0.0.1 - 127.255.255.254                 | 0.0.0.0                      | 127.255.255.255                |
| 192.0.0.0         | /2            | 4                  | 2^30 - 2                   | 128.0.0.1 - 191.255.255.254               | 128.0.0.0                    | 191.255.255.255                |
| 224.0.0.0         | /3            | 8                  | 2^29 - 2                   | 192.0.0.1 - 223.255.255.254               | 192.0.0.0                    | 223.255.255.255                |
| 240.0.0.0         | /4            | 16                 | 2^28 - 2                   | 224.0.0.1 - 239.255.255.254               | 224.0.0.0                    | 239.255.255.255                |
| 248.0.0.0         | /5            | 32                 | 2^27 - 2                   | 240.0.0.1 - 247.255.255.254               | 240.0.0.0                    | 247.255.255.255                |
| 252.0.0.0         | /6            | 64                 | 2^26 - 2                   | 248.0.0.1 - 251.255.255.254               | 248.0.0.0                    | 251.255.255.255                |
| 254.0.0.0         | /7            | 128                | 2^25 - 2                   | 252.0.0.1 - 253.255.255.254               | 252.0.0.0                    | 253.255.255.255                |
| 255.0.0.0         | /8            | 256                | 2^24 - 2                   | 254.0.0.1 - 254.255.255.254               | 254.0.0.0                    | 254.255.255.255                |
| 255.128.0.0       | /9            | 512                | 2^23 - 2                   | 255.0.0.1 - 255.127.255.254               | 255.0.0.0                    | 255.127.255.255                |
| 255.192.0.0       | /10           | 1024               | 2^22 - 2                   | 255.128.0.1 - 255.191.255.254             | 255.128.0.0                  | 255.191.255.255                |
| 255.224.0.0       | /11           | 2048               | 2^21 - 2                   | 255.192.0.1 - 255.223.255.254             | 255.192.0.0                  | 255.223.255.255                |
| 255.240.0.0       | /12           | 4096               | 2^20 - 2                   | 255.224.0.1 - 255.239.255.254             | 255.224.0.0                  | 255.239.255.255                |
| 255.248.0.0       | /13           | 8192               | 2^19 - 2                   | 255.240.0.1 - 255.247.255.254             | 255.240.0.0                  | 255.247.255.255                |
| 255.252.0.0       | /14           | 16384              | 2^18 - 2                   | 255.248.0.1 - 255.251.255.254             | 255.248.0.0                  | 255.251.255.255                |
| 255.254.0.0       | /15           | 32768              | 2^17 - 2                   | 255.252.0.1 - 255.253.255.254             | 255.252.0.0                  | 255.253.255.255                |
| 255.255.0.0       | /16           | 65536              | 2^16 - 2                   | 255.254.0.1 - 255.254.255.254             | 255.254.0.0                  | 255.254.255.255                |
| 255.255.128.0     | /17           | 131072             | 2^15 - 2                   | 255.255.0.1 - 255.255.127.254             | 255.255.128.0                | 255.255.127.255                |
| 255.255.192.0     | /18           | 262144             | 2^14 - 2                   | 255.255.128.1 - 255.255.191.254           | 255.255.192.0                | 255.255.191.255                |
| 255.255.224.0     | /19           | 524288             | 2^13 - 2                   | 255.255.192.1 - 255.255.223.254           | 255.255.224.0                | 255.255.223.255                |
| 255.255.240.0     | /20           | 1048576            | 2^12 - 2                   | 255.255.224.1 - 255.255.239.254           | 255.255.240.0                | 255.255.239.255                |
| 255.255.248.0     | /21           | 2097152            | 2^11 - 2                   | 255.255.240.1 - 255.255.247.254           | 255.255.248.0                | 255.255.247.255                |
| 255.255.252.0     | /22           | 4194304            | 2^10 - 2                   | 255.255.248.1 - 255.255.251.254           | 255.255.252.0                | 255.255.251.255                |
| 255.255.254.0     | /23           | 8388608            | 2^9 - 2                    | 255.255.252.1 - 255.255.253.254           | 255.255.254.0                | 255.255.253.255                |
| 255.255.255.0     | /24           | 16777216           | 2^8 - 2                    | 255.255.254.1 - 255.255.254.254           | 255.255.255.0                | 255.255.254.255                |
| 255.255.255.128   | /25           | 33554432           | 2^7 - 2                    | 255.255.255.1 - 255.255.255.126           | 255.255.255.128              | 255.255.255.127                |
| 255.255.255.192   | /26           | 67108864           | 2^6 - 2                    | 255.255.255.129 - 255.255.255.190         | 255.255.255.192              | 255.255.255.191                |
| 255.255.255.224   | /27           | 134217728          | 2^5 - 2                    | 255.255.255.193 - 255.255.255.222         | 255.255.255.224              | 255.255.255.223                |
| 255.255.255.240   | /28           | 268435456          | 2^4 - 2                    | 255.255.255.225 - 255.255.255.238         | 255.255.255.240              | 255.255.255.239                |
| 255.255.255.248   | /29           | 536870912          | 2^3 - 2                    | 255.255.255.241 - 255.255.255.246         | 255.255.255.248              | 255.255.255.247                |
| 255.255.255.252   | /30           | 1073741824         | 2^2 - 2                    | 255.255.255.249 - 255.255.255.250         | 255.255.255.252              | 255.255.255.251                |
| 255.255.255.254   | /31           | 2147483648         | 2^1 - 2                    | 255.255.255.249 - 255.255.255.250         | 255.255.255.254              | 255.255.255.253                |
| 255.255.255.255   | /32           | 2^32               | 1                          | 192.168.1.1                               | 192.168.1.1                  | 192.168.1.1                    |

Questa tabella fornisce una panoramica dei vari prefissi di subnet e quanti indirizzi di rete e host sono disponibili per ciascuno, insieme agli indirizzi di rete e di broadcast associati a ciascuna subnet.
